No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
561/25/09/246/VZ,307625.0,1,1,307625.0,307625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003248/26/SBY,675140.0,1,2,675140.0,659125.3251704166,0.0,0.0,0.0,16014.674829583408,0.0,0.0,0.0,0.0,16014.674829583395,2.37
157/25/09/553/VA,80125.0,1,2,80125.0,73903.03246561892,0.0,6221.967534381082,0.0,0.0,0.0,0.0,0.0,0.0,6221.967534381081,7.77
775/25/12/722/VC,45125.0,1,2,45125.0,40614.07354561942,0.0,4510.926454380578,0.0,0.0,0.0,0.0,0.0,0.0,4510.9264543805775,10.0
729/25/10/530/X,1462375.0,1,1,1462375.0,1462375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146/25/12/282/X,417625.0,1,2,417625.0,379242.5827373965,0.0,38382.417262603514,0.0,0.0,0.0,0.0,0.0,0.0,38382.41726260352,9.19
447/25/11/314/VZ,1792625.0,1,2,1792625.0,1010900.6101190478,0.0,781724.3898809521,0.0,0.0,0.0,0.0,0.0,0.0,781724.3898809522,43.61
003975/25/MKS,625000.0,1,1,625000.0,625000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300/25/11/202/VZ,281375.0,1,1,281375.0,281375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439/26/01/200/X,237625.0,1,1,237625.0,237625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039313/25/SBY,162750.0,1,1,162750.0,162750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441/25/11/171/VX,342625.0,1,2,342625.0,325158.68050469656,0.0,17466.319495303393,0.0,0.0,0.0,0.0,0.0,0.0,17466.319495303418,5.1
358/25/09/596/X,20125.0,1,2,20125.0,19629.713443104203,0.0,495.2865568957983,0.0,0.0,0.0,0.0,0.0,0.0,495.28655689579756,2.46
350/25/09/077/X,440250.0,1,1,440250.0,440250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
