No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5
591/25/09/109/VH,415375.0,1,1,415375.0,415375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552/25/08/847/VZ,56125.0,1,1,56125.0,56125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434/25/12/701/X,230125.0,1,2,230125.0,215842.31436188647,0.0,14282.685638113553,0.0,0.0,0.0,0.0,0.0,0.0
415/25/09/485/X,1804500.0,1,2,1804500.0,1780746.7260284552,0.0,23753.273971544695,0.0,0.0,0.0,0.0,0.0,0.0
044647/25/SBY,367250.0,1,1,367250.0,367250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491/24/09/393/VZ,560125.0,1,3,560125.0,449630.28347313456,0.0,73222.17770004566,0.0,37272.538826819815,0.0,0.0,0.0,0.0
032004/25/SBY,206750.0,1,2,206750.0,203119.3818205285,0.0,3630.6181794715126,0.0,0.0,0.0,0.0,0.0,0.0
727/25/12/479/X,45125.0,1,2,45125.0,40676.325398872796,0.0,4448.674601127204,0.0,0.0,0.0,0.0,0.0,0.0
314/25/12/308/X,2523938.0,1,2,2523938.0,2249854.205143393,0.0,274083.794856607,0.0,0.0,0.0,0.0,0.0,0.0
377/25/12/591/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
422/25/07/911/VZ,597625.0,1,2,597625.0,500442.65128968254,0.0,97182.34871031747,0.0,0.0,0.0,0.0,0.0,0.0
095/26/02/007/X,217625.0,1,2,200125.0,213240.6482895524,0.0,4384.351710447612,0.0,0.0,0.0,0.0,0.0,0.0
040942/25/SBY,594000.0,1,2,594000.0,414563.219727812,0.0,179436.78027218796,0.0,0.0,0.0,0.0,0.0,0.0
174/25/08/905/X,15125.0,1,2,15125.0,14860.96834012647,0.0,264.03165987353077,0.0,0.0,0.0,0.0,0.0,0.0
341/25/08/307/XR1,341875.0,1,1,341875.0,341875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351/25/08/313/XRM1,-255000.0,0,0,-255000.0,-255000.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
592/25/09/934/X,55125.0,1,2,55125.0,52388.20095528232,0.0,2736.799044717676,0.0,0.0,0.0,0.0,0.0,0.0
986/25/11/432/VZ,375125.0,1,1,375125.0,375125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261/25/12/045/X,37625.0,1,2,37625.0,36104.923589086306,0.0,1520.0764109136944,0.0,0.0,0.0,0.0,0.0,0.0
003400/24/MKS,2220000.0,4,4,62644.0,256806.03999999972,306219.0,278659.28999999963,575000.0,523249.9999999999,1276137.0,1161284.6700000006,0.0,0.0
047897/25/SBY,438000.0,1,1,438000.0,438000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363/25/10/217/XRM1,-16250.0,0,0,-16250.0,-16250.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
204/25/11/185/X,1667000.0,1,1,1667000.0,1667000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443/25/08/765/X,348875.0,1,1,348875.0,348875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331/26/01/102/X,95125.0,1,2,95125.0,91859.98610484028,0.0,3265.0138951597246,0.0,0.0,0.0,0.0,0.0,0.0
040845/24/SBY,201750.0,1,1,201750.0,201750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
020/25/10/510/X,731000.0,1,1,731000.0,731000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
047942/25/SBY,4046750.0,1,1,4046750.0,4046750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004233/25/MKS,342500.0,1,1,342500.0,342500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
027/25/11/660/X,30125.0,1,2,30125.0,28964.57714690709,0.0,1160.4228530929104,0.0,0.0,0.0,0.0,0.0,0.0
040049/25/SBY,342000.0,1,1,342000.0,342000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574/26/01/652/X,180971.0,2,1,180000.0,180971.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285/25/09/536/X,879125.0,1,1,879125.0,879125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
